instrument_id,name,long_name,symbol,instrument_group_type,instrument_type_hierarchy,instrument_type,isin,currency,price_unit,clearing_place,is_tradable,instrument_pawn_percentage,is_shortable,issuer_id,issuer_name,is_monthly_saveable
16081531,"Volvo, AB ser. B","Volvo, AB ser. B",VOLV B,EQ,EQ/ESH,ESH,SE0000115446,SEK,SEK,VPC,True,80,True,249431,"Volvo, AB",False
16100307,AstraZeneca PLC,AstraZeneca PLC,AZN,EQ,EQ/ESH,ESH,GB0009895292,SEK,SEK,VPC,True,85,True,249759,Astra Zeneca,False
16100423,Sandvik AB,Sandvik AB,SAND,EQ,EQ/ESH,ESH,SE0000667891,SEK,SEK,VPC,True,85,True,249502,Sandvik AB,False
16403238,Atlas Copco AB ser. A,Atlas Copco AB ser. A,ATCO A,EQ,EQ/ESH,ESH,SE0017486889,SEK,SEK,VPC,True,85,True,249494,Atlas Copco AB,False
16100594,Lundin Energy AB,Lundin Energy AB,LUNE,EQ,EQ/ESH,ESH,SE0000825820,SEK,SEK,VPC,True,65,True,261658,Lundin Energy AB,False
16101929,"Ericsson, Telefonab. L M ser. B","Ericsson, Telefonab. L M ser. B",ERIC B,EQ,EQ/ESH,ESH,SE0000108656,SEK,SEK,VPC,True,80,True,249477,"Ericsson, Telefonab. L M",False
16099811,"Hennes & Mauritz AB, H & M ser. B","Hennes & Mauritz AB, H & M ser. B",HM B,EQ,EQ/ESH,ESH,SE0000106270,SEK,SEK,VPC,True,85,True,249486,"Hennes & Mauritz AB, H & M",False
16090266,Hexagon AB ser. B,Hexagon AB ser. B,HEXA B,EQ,EQ/ESH,ESH,SE0015961909,SEK,SEK,VPC,True,85,True,249538,Hexagon AB,False
16100497,Boliden AB,Boliden AB,BOL,EQ,EQ/ESH,ESH,SE0017768716,SEK,SEK,VPC,True,80,True,249764,Boliden AB,False
16102010,Swedbank AB ser A,Swedbank AB ser A,SWED A,EQ,EQ/ESH,ESH,SE0000242455,SEK,SEK,VPC,True,80,True,252148,Swedbank,False
16103003,"SKF, AB ser. B","SKF, AB ser. B",SKF B,EQ,EQ/ESH,ESH,SE0000108227,SEK,SEK,VPC,True,85,True,249527,"SKF, AB",False
16403239,Atlas Copco AB ser. B,Atlas Copco AB ser. B,ATCO B,EQ,EQ/ESH,ESH,SE0017486897,SEK,SEK,VPC,True,85,True,249494,Atlas Copco AB,False
16102537,Holmen AB ser. B,Holmen AB ser. B,HOLM B,EQ,EQ/ESH,ESH,SE0011090018,SEK,SEK,VPC,True,80,True,249509,Holmen AB,False
16102719,Skandinaviska Enskilda Banken ser. A,Skandinaviska Enskilda Banken ser. A,SEB A,EQ,EQ/ESH,ESH,SE0000148884,SEK,SEK,VPC,True,80,True,249535,SEB,False
16405089,Svenska Handelsbanken ser. A,Svenska Handelsbanken ser. A,SHB A,EQ,EQ/ESH,ESH,SE0007100599,SEK,SEK,VPC,True,80,True,249506,Svenska Handelsbanken,False
16086925,Getinge AB ser. B,Getinge AB ser. B,GETI B,EQ,EQ/ESH,ESH,SE0000202624,SEK,SEK,VPC,True,85,True,249481,Getinge AB,False
16408922,ASSA ABLOY AB ser. B,ASSA ABLOY AB ser. B,ASSA B,EQ,EQ/ESH,ESH,SE0007100581,SEK,SEK,VPC,True,85,True,249466,Assa Abloy AB,False
16103134,SSAB AB ser. B,SSAB AB ser. B,SSAB B,EQ,EQ/ESH,ESH,SE0000120669,SEK,SEK,VPC,True,80,True,249532,SSAB AB,False
16101734,Autoliv Inc. SDB,Autoliv Inc. SDB,ALIV SDB,EQ,EQ/ESH,ESH,SE0000382335,SEK,SEK,VPC,True,75,False,249467,AUTOLIV,False
16099742,NIBE Industrier AB ser. B,NIBE Industrier AB ser. B,NIBE B,EQ,EQ/ESH,ESH,SE0015988019,SEK,SEK,VPC,True,80,True,249560,NIBE INDUSTRIER,False
16101863,"Electrolux, AB ser. B","Electrolux, AB ser. B",ELUX B,EQ,EQ/ESH,ESH,SE0016589188,SEK,SEK,VPC,True,85,True,249498,"Electrolux,  AB",False
16102232,"Industrivärden, AB ser. C","Industrivärden, AB ser. C",INDU C,EQ,EQ/ESH,ESH,SE0000107203,SEK,SEK,VPC,True,85,True,249528,"Industrivärden, AB",False
16103217,Svenska Cellulosa AB SCA ser. B,Svenska Cellulosa AB SCA ser. B,SCA B,EQ,EQ/ESH,ESH,SE0000112724,SEK,SEK,VPC,True,85,True,249526,SVENSKA CELLULOSA AB,False
16100498,Alfa Laval AB,Alfa Laval AB,ALFA,EQ,EQ/ESH,ESH,SE0000695876,SEK,SEK,VPC,True,85,True,249932,ALFA LAVAL,False
16099821,Kinnevik AB ser. B,Kinnevik AB ser. B,KINV B,EQ,EQ/ESH,ESH,SE0015810247,SEK,SEK,VPC,True,85,True,249561,Kinnevik AB,False
16197377,Tele2 AB ser. B,Tele2 AB ser. B,TEL2 B,EQ,EQ/ESH,ESH,SE0005190238,SEK,SEK,VPC,True,85,True,249549,Tele2 AB,False
16100088,SAAB AB ser. B,SAAB AB ser. B,SAAB B,EQ,EQ/ESH,ESH,SE0000112385,SEK,SEK,VPC,True,80,True,249576,SAAB AB,False
16082794,Beijer Ref AB ser. B,Beijer Ref AB ser. B,BEIJ B,EQ,EQ/ESH,ESH,SE0015949748,SEK,SEK,VPC,True,75,True,249469,Beijer AB,False
16100369,Fastighets AB Balder ser. B,Fastighets AB Balder ser. B,BALD B,EQ,EQ/ESH,ESH,SE0017832488,SEK,SEK,VPC,True,70,True,249786,Fastighets AB Balder,False
16085191,Elekta AB ser. B,Elekta AB ser. B,EKTA B,EQ,EQ/ESH,ESH,SE0000163628,SEK,SEK,VPC,True,80,True,249476,ELEKTA,False
16099788,Husqvarna AB ser. B,Husqvarna AB ser. B,HUSQ B,EQ,EQ/ESH,ESH,SE0001662230,SEK,SEK,VPC,True,80,True,249447,Husqvarna AB,False
16102856,Skanska AB ser. B,Skanska AB ser. B,SKA B,EQ,EQ/ESH,ESH,SE0000113250,SEK,SEK,VPC,True,85,True,249517,Skanska AB,False
16099785,Castellum AB,Castellum AB,CAST,EQ,EQ/ESH,ESH,SE0000379190,SEK,SEK,VPC,True,70,True,249552,Castellum AB,False
16103597,Trelleborg AB ser. B,Trelleborg AB ser. B,TREL B,EQ,EQ/ESH,ESH,SE0000114837,SEK,SEK,VPC,True,85,True,249508,Trelleborg AB,False
16096164,Indutrade AB,Indutrade AB,INDT,EQ,EQ/ESH,ESH,SE0001515552,SEK,SEK,VPC,True,80,True,250223,Indutrade AB,False
16103062,SSAB AB ser. A,SSAB AB ser. A,SSAB A,EQ,EQ/ESH,ESH,SE0000171100,SEK,SEK,VPC,True,80,True,249532,SSAB AB,False
16100322,Modern Times Group MTG AB ser. B,Modern Times Group MTG AB ser. B,MTG B,EQ,EQ/ESH,ESH,SE0000412371,SEK,SEK,VPC,True,85,True,249598,Modern Times Group AB,False
